City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rossland,49.08,-117.8,36.0,59,100,1.66,CA,1580239967
1,raudeberg,61.99,5.14,37.4,64,75,10.29,NO,1580239967
2,gimbi,9.17,35.83,65.52,37,74,4.34,ET,1580239967
3,vitim,59.45,112.56,-3.28,83,51,1.95,RU,1580239967
4,rockhampton,-23.38,150.5,77.0,94,75,6.93,AU,1580239967
5,nizwa,22.93,57.53,54.01,62,0,1.07,OM,1580239967
6,mountain home,43.13,-115.69,46.0,86,90,14.99,US,1580239920
7,zyryanka,65.75,150.85,-26.19,100,89,1.88,RU,1580239967
8,juba,4.85,31.58,77.36,58,100,9.51,SS,1580239967
9,itoman,26.12,127.67,60.8,82,75,14.99,JP,1580239967
10,dondo,-19.61,34.74,82.4,78,75,14.99,MZ,1580239968
11,haines junction,60.75,-137.51,6.51,96,22,6.98,CA,1580239968
12,san patricio,19.22,-104.7,82.4,58,40,6.93,MX,1580239968
13,kununurra,-15.77,128.73,80.6,94,63,8.52,AU,1580239968
14,krasnogorskoye,52.3,86.2,23.72,72,100,11.63,RU,1580239968
15,ixtapa,20.7,-105.2,78.01,61,5,12.75,MX,1580239968
16,gejiu,23.31,103.16,40.28,95,85,3.04,CN,1580239968
17,mutis,6.23,-77.4,80.89,73,72,4.76,CO,1580239968
