City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.92,53.6,50,40,33.33,CL,1580239820
1,shimoda,34.67,138.95,53.6,93,90,6.93,JP,1580240039
2,hilo,19.73,-155.09,72.0,83,90,11.41,US,1580240037
3,barrow,71.29,-156.79,-27.4,67,1,4.7,US,1580240040
4,vestmannaeyjar,63.44,-20.27,34.92,61,0,3.42,IS,1580240040
5,laibin,23.7,109.27,46.94,67,81,7.63,CN,1580240040
6,kodiak,57.79,-152.41,15.8,78,1,8.05,US,1580240040
7,bredasdorp,-34.53,20.04,68.0,72,55,10.13,ZA,1580240040
8,grindavik,63.84,-22.43,32.0,62,20,5.82,IS,1580240040
9,tautira,-17.73,-149.15,86.0,66,75,4.7,PF,1580240040
10,chuy,-33.7,-53.46,77.54,50,0,8.03,UY,1580240040
11,coquimbo,-29.95,-71.34,71.6,60,40,9.17,CL,1580239847
12,mehamn,71.04,27.85,14.0,72,53,16.11,NO,1580240040
13,mataura,-46.19,168.86,61.0,79,29,1.01,NZ,1580240041
14,rikitea,-23.12,-134.97,79.74,80,100,13.51,PF,1580240041
15,upernavik,72.79,-56.15,-13.04,91,100,5.3,GL,1580240041
16,bonga,7.28,36.23,57.29,72,99,2.3,ET,1580240041
17,san joaquin,10.26,-67.79,72.91,92,30,3.4,VE,1580240041
18,port alfred,-33.59,26.89,66.0,85,0,1.99,ZA,1580240041
19,cojutepeque,13.72,-88.93,87.8,58,40,8.05,SV,1580240041
20,vanavara,60.34,102.28,9.72,95,100,3.02,RU,1580240041
21,deputatskiy,69.3,139.9,-22.99,71,100,4.72,RU,1580240041
22,new norfolk,-42.78,147.06,62.6,67,75,11.41,AU,1580240037
23,dikson,73.51,80.55,-13.94,99,97,12.71,RU,1580240041
24,broome,42.25,-75.83,35.01,80,90,11.41,US,1580240042
25,ushuaia,-54.8,-68.3,48.2,81,75,29.97,AR,1580240042
26,mugumu,-1.85,34.7,62.15,98,100,1.3,TZ,1580240042
27,kapaa,22.08,-159.32,73.4,88,1,8.05,US,1580240042
28,fortuna,40.6,-124.16,57.0,87,90,12.75,US,1580240041
29,nueve de julio,-35.44,-60.88,97.47,14,57,16.26,AR,1580240042
30,luderitz,-26.65,15.16,65.5,79,0,26.44,NA,1580240042
31,puerto ayora,-0.74,-90.35,86.0,62,20,9.17,EC,1580240042
32,marakkanam,12.2,79.95,78.8,75,38,11.83,IN,1580240042
33,ridgecrest,35.62,-117.67,57.0,37,75,4.41,US,1580240043
34,adrar,20.5,-10.07,76.46,20,0,12.93,MR,1580240043
35,busselton,-33.65,115.33,66.0,53,95,3.87,AU,1580240043
36,tukums,56.97,23.16,32.0,93,90,11.41,LV,1580240043
37,bluff,-46.6,168.33,61.0,79,49,1.01,NZ,1580240043
38,castro,-24.79,-50.01,68.27,90,98,6.13,BR,1580240043
39,teguldet,57.31,88.17,15.85,95,100,5.57,RU,1580240043
40,asau,46.43,26.4,39.2,80,40,5.82,RO,1580240043
41,butaritari,3.07,172.79,83.52,79,100,20.6,KI,1580240044
42,sierra vista,31.55,-110.3,61.0,25,1,2.26,US,1580240044
43,madang,-5.22,145.8,81.43,74,100,8.86,PG,1580240044
44,fort nelson,58.81,-122.7,1.4,77,40,1.34,CA,1580240044
45,padang,-0.95,100.35,68.45,99,100,0.56,ID,1580239966
46,otane,-39.88,176.63,75.87,50,100,4.94,NZ,1580240044
47,athabasca,54.72,-113.29,27.34,85,71,3.0,CA,1580239821
48,matay,28.42,30.78,51.22,54,0,7.49,EG,1580240044
49,cape town,-33.93,18.42,71.01,82,75,12.75,ZA,1580239863
50,kasongo,-4.45,26.67,69.21,94,100,3.78,CD,1580240044
51,huron,41.15,-82.55,35.6,74,90,11.41,US,1580240045
52,vaini,-21.2,-175.2,77.0,100,75,1.12,TO,1580239791
53,altay,47.87,88.12,10.85,96,100,5.17,CN,1580240045
54,kerman,30.28,57.08,30.2,46,0,4.7,IR,1580240045
55,praia da vitoria,38.73,-27.07,66.2,88,75,20.69,PT,1580240045
56,middelburg,-25.78,29.46,59.59,74,0,4.81,ZA,1580240045
57,sovetskiy,61.36,63.58,-16.06,91,0,4.85,RU,1580240045
58,esperance,-33.87,121.9,66.2,100,90,8.05,AU,1580240046
59,wajid,3.81,43.25,80.74,44,100,18.28,SO,1580240046
60,tabas,33.6,56.92,42.8,52,0,4.7,IR,1580240046
61,plettenberg bay,-34.05,23.37,64.56,76,0,7.72,ZA,1580240046
62,sao joao da barra,-21.64,-41.05,89.6,59,20,13.87,BR,1580240046
63,lebu,-37.62,-73.65,63.68,55,33,12.95,CL,1580240046
64,vikulovo,56.82,70.61,-6.92,96,100,7.31,RU,1580240046
65,tuy hoa,13.08,109.3,74.55,87,81,15.03,VN,1580240046
66,hobart,-42.88,147.33,62.6,67,75,11.41,AU,1580240023
67,morgantown,39.63,-79.96,37.4,80,90,4.7,US,1580239748
68,nikolskoye,59.7,30.79,32.0,94,90,11.18,RU,1580240046
69,cabo san lucas,22.89,-109.91,80.01,49,5,8.05,MX,1580240047
70,kaitangata,-46.28,169.85,66.0,89,45,3.0,NZ,1580240047
71,westport,41.14,-73.36,43.0,64,90,8.05,US,1580240047
72,marystown,47.17,-55.15,30.81,97,100,14.43,CA,1580240047
73,nelson bay,-32.72,152.15,75.99,94,90,11.41,AU,1580240047
74,saldanha,-33.01,17.94,66.2,77,2,13.87,ZA,1580240047
75,pangnirtung,66.15,-65.71,-20.2,61,20,3.56,CA,1580240047
76,russell,32.35,-85.2,62.6,36,1,8.05,US,1580239826
77,albany,42.6,-73.97,37.0,59,90,16.11,US,1580240047
78,airai,-8.93,125.41,68.45,81,100,5.53,TL,1580240048
79,saint-philippe,-21.36,55.77,73.4,73,1,5.82,RE,1580240048
80,kavaratti,10.57,72.64,80.82,62,13,4.5,IN,1580240048
81,san quintin,30.48,-115.95,64.62,65,0,11.77,MX,1580240048
82,riyadh,24.69,46.72,51.8,40,0,4.7,SA,1580239753
83,kedrovyy,56.17,91.82,24.8,62,100,6.71,RU,1580240048
84,la ronge,55.1,-105.28,17.6,92,90,4.7,CA,1580240048
85,saint-pierre,-21.34,55.48,73.4,73,0,5.82,RE,1580240048
86,lavrentiya,65.58,-171.0,-12.37,79,0,7.52,RU,1580240049
